sex,exper,school,wage
F,4,16,9.43618778
M,4,16,12.7388535
F,6,16,5.0417626
F,6,16,5.932309229
F,6,16,5.367494454
F,6,16,10.12806374
F,7,16,5.447892668
F,7,16,5.103707333
F,7,16,9.366804047
F,7,16,6.73689368
F,7,16,8.727339539
M,7,16,8.57422832
F,8,16,4.184513117
M,8,16,8.982524906
M,8,16,8.710327182
M,8,16,6.126903489
F,3,15,8.26800588
F,3,15,2.412661648
F,3,15,3.268521623
F,3,15,4.485511797
F,3,15,3.98089172
M,3,15,6.455500086
M,3,15,4.408997504
F,4,15,7.96178344
M,4,15,4.246284501
F,5,15,9.064184223
M,5,15,3.266372693
M,5,15,7.249754026
M,5,15,8.26800588
M,5,15,11.74504224
M,5,15,22.11606511
F,6,15,5.81822636
F,6,15,2.912570107
F,6,15,6.1244488
F,6,15,10.41156296
M,6,15,6.066120716
M,6,15,2.681863895
M,6,15,6.916015037
M,6,15,16.79848814
M,6,15,7.014787171
M,6,15,6.725481663
M,6,15,5.43544831
F,7,15,8.54956611
F,7,15,10.55706091
F,7,15,7.699307062
F,7,15,3.890122202
F,7,15,5.2588759
F,7,15,7.872325199
F,7,15,12.94883461
F,7,15,7.736145852
F,7,15,10.31319098
F,7,15,4.187849393
F,7,15,6.1244488
F,7,15,5.671239588
F,7,15,14.64909557
F,7,15,8.711981879
M,7,15,7.96178344
M,7,15,12.08673214
M,7,15,7.828345728
M,7,15,12.2488976
M,7,15,11.26667468
M,7,15,3.588409438
M,7,15,7.96178344
M,7,15,7.96178344
M,7,15,9.969781732
F,8,15,9.786358811
F,8,15,14.10205185
F,8,15,6.255686988
F,8,15,5.208643372
F,8,15,10.41156296
F,8,15,6.824385805
F,8,15,12.6697458
F,8,15,12.39598581
F,8,15,6.555045769
F,8,15,6.708226047
F,8,15,6.093826556
F,8,15,3.021990795
F,8,15,5.51200392
F,8,15,7.417320548
F,8,15,5.81822636
F,8,15,4.444599986
F,8,15,8.022329321
F,8,15,11.18476047
F,8,15,5.902822674
F,8,15,9.016549622
F,8,15,7.430997877
F,8,15,6.135174629
F,8,15,4.89955904
M,8,15,8.945824089
M,8,15,12.20488958
M,8,15,0.891244415
M,8,15,12.55512004
M,8,15,5.686988171
M,8,15,9.799118079
M,8,15,5.238015421
M,8,15,8.492569002
M,8,15,9.664162905
M,8,15,6.920503915
M,8,15,9.186673199
M,8,15,5.243264257
M,8,15,14.33633031
M,8,15,15.00489956
M,8,15,10.41156296
M,8,15,7.041577313
M,8,15,12.39791095
F,9,15,7.275845174
F,9,15,5.090641842
F,9,15,8.982524906
F,9,15,7.702562583
F,9,15,7.019492826
F,9,15,5.010365193
F,9,15,6.43067124
F,9,15,6.272920286
F,9,15,4.777070064
F,9,15,4.963189677
F,9,15,6.1244488
F,9,15,4.413634821
F,9,15,8.698449463
F,9,15,15.311122
F,9,15,3.527682509
F,9,15,8.359872612
F,9,15,7.111342906
F,9,15,8.57422832
F,9,15,7.143282338
F,9,15,6.87701603
M,9,15,3.216882198
M,9,15,8.757961783
M,9,15,15.71676731
M,9,15,21.4355708
M,9,15,13.7800098
M,9,15,7.835850134
M,9,15,16.33186347
M,9,15,15.9386033
M,9,15,7.104360608
M,9,15,14.14747673
